outlet,n_articles,orientation
CNN (Online News),38,Left
Associated Press,29,Left
New York Times (News),19,Left
CNN Business,16,Left
NBC News (Online),13,Left
The Guardian,12,Left
USA TODAY,10,Left
CBS News (Online),8,Left
CNN Digital,8,Left
ABC News (Online),7,Left
NBC News Digital,6,Left
Daily Beast,6,Left
Al Jazeera,5,Left
CNN (Opinion),4,Left
Mediaite,4,Left
The Independent,4,Left
The Verge,4,Left
New York Times (Opinion),3,Left
CBC News,2,Left
Bloomberg,2,Left
RollingStone.com,2,Left
MSNBC,2,Left
Business Insider,2,Left
HuffPost,2,Left
Vox,2,Left
BuzzFeed News,2,Left
Yahoo News,1,Left
FactCheck.org,1,Left
Vanity Fair,1,Left
San Francisco Chronicle,1,Left
Jacobin,1,Left
Jill Filipovic,1,Left
SFGATE,1,Left
Slate,1,Left
Salon,1,Left
Gizmodo,1,Left
Chris Cillizza,1,Left
Newsweek,48,Center
BBC News,47,Center
CNBC,33,Center
Forbes,25,Center
Christian Science Monitor,4,Center
The Times of Israel,4,Center
Euronews,3,Center
Roll Call,3,Center
The Hill,3,Center
Detroit News,3,Center
The Jerusalem Post,3,Center
International Business Times,2,Center
Fortune,2,Center
Voice of America (VOA),2,Center
Matt Lewis,2,Center
Trains.com,2,Center
Voice of America,2,Center
AZ Central,2,Center
South China Morning Post,2,Center
SCOTUSblog,2,Center
The Kyiv Independent,1,Center
FiveThirtyEight,1,Center
Deutsche Welle,1,Center
Houston Chronicle,1,Center
The Forward,1,Center
Straight Arrow News,1,Center
The Columbus Dispatch,1,Center
The Nevada Independent,1,Center
WGME 13,1,Center
The Denver Post,1,Center
Honolulu Civil Beat,1,Center
ABC 6,1,Center
Deadline,1,Center
El Paso Times,1,Center
The Reporters Committee for Freedom of the Press,1,Center
Military Times,1,Center
Crunchbase News,1,Center
Financial Times,1,Center
The Globe and Mail,1,Center
Deseret News,1,Center
Anchorage Daily News,1,Center
The Clarion-Ledger,1,Center
The Daily Yonder,1,Center
TechCrunch,1,Center
Quartz,1,Center
Jonathan Bernstein,1,Center
Milwaukee Journal Sentinel,1,Center
Nature.com,1,Center
CNET,1,Center
Fox News (Online News),43,Right
Washington Examiner,41,Right
New York Post (News),37,Right
Fox Business,27,Right
Fox News Digital,13,Right
Breitbart News,9,Right
New York Post (Opinion),6,Right
The Epoch Times,6,Right
The Daily Wire,5,Right
Reason,4,Right
Daily Mail,4,Right
The Daily Caller,3,Right
The Telegraph - UK,2,Right
Guest Writer - Right,2,Right
John Podhoretz,2,Right
Just The News,2,Right
Townhall,1,Right
Isaac Schorr,1,Right
Independent Journal Review,1,Right
Fox News (Opinion),1,Right
Byron York,1,Right
David Frum,1,Right
Deseret News,1,Right
The Blaze,1,Right
Mitch McConnell,1,Right
Tom Nichols,1,Right
James Bovard,1,Right
Joseph Curl,1,Right
E.J. Antoni,1,Right
CBN,1,Right
The American Conservative,1,Right
Washington Free Beacon,1,Right
The Federalist,1,Right
