topic,n_events,percentage
World,25,11.21
Economy and Jobs,19,8.52
Politics,13,5.83
Donald Trump,12,5.38
Middle East,11,4.93
Defense and Security,11,4.93
Immigration,8,3.59
Violence in America,7,3.14
2022 Elections,7,3.14
Criminal Justice,7,3.14
Business,7,3.14
2024 Presidential Election,7,3.14
Banking and Finance,6,2.69
Joe Biden,6,2.69
Environment,6,2.69
Media Industry,5,2.24
Justice,5,2.24
Technology,4,1.79
Education,4,1.79
Public Health,4,1.79
Russia,4,1.79
Elections,4,1.79
Energy,3,1.35
China,3,1.35
Race and Racism,3,1.35
Supreme Court,3,1.35
Facts and Fact Checking,3,1.35
Culture,3,1.35
Federal State and Tribal Powers,2,0.9
Housing and Homelessness,2,0.9
Foreign Policy,2,0.9
Sports,2,0.9
Gun Control and Gun Rights,1,0.45
Healthcare,1,0.45
LGBTQ Issues,1,0.45
The Americas,1,0.45
Life During COVID-19,1,0.45
Sexual Misconduct,1,0.45
Media Bias,1,0.45
Climate Change,1,0.45
Polarization,1,0.45
Religion and Faith,1,0.45
Sustainability,1,0.45
Free Speech,1,0.45
Coronavirus,1,0.45
Abortion,1,0.45
Science,1,0.45
