source,articles,mean_spans_per_1000_words,median_spans_per_1000_words,total_words,total_predicted_spans,pooled_spans_per_1000_words
Townhall,292,72.18147407061933,72.09077465589809,165368,11965,72.3537806588941
CBN,83,71.40171735665263,70.22677395757133,44147,3133,70.96744965682834
Breitbart News,112,70.02197727658785,69.0739535892431,49685,3441,69.25631478313373
TheBlaze.com,82,69.51938592994703,70.97069597069597,44916,3067,68.28301718763915
Daily Beast,52,69.47451268806535,68.76573426573427,35989,2470,68.63208202506321
Vox,162,69.00893434527981,68.0976797878117,177971,12213,68.62353979019053
NBCNews.com,69,67.48368957948388,67.03039750584567,51118,3449,67.47134081928088
National Review,68,67.08492535916727,65.69538056879829,11632,794,68.25997248968363
Washington Examiner,157,67.08286149898879,66.17647058823529,71072,4735,66.62257991895542
CBS News,54,66.85804767469153,65.20763452544054,35645,2361,66.23649880768691
HuffPost,530,66.7258139344048,64.99476582768193,361108,23690,65.60364212368599
Salon,56,66.69843089796198,66.01175054303735,51516,3448,66.930662318503
Christian Science Monitor,97,66.58353193924299,66.51884700665188,90263,5948,65.89632518307612
USA TODAY,347,66.28424062380256,65.8307210031348,265507,17696,66.64984350695086
Reuters,184,65.95370995929454,65.25470114014826,123028,8047,65.4078746301655
BBC News,132,65.93866398201037,64.13990909932959,101256,6641,65.5862368649759
The Hill,286,65.91127778448579,64.83704154873229,191838,12655,65.9671180892211
Fox News,989,65.84836223597361,64.61086637298091,764603,50216,65.67591285935316
ABC News,97,65.74548197297085,64.76190476190476,74147,4827,65.10040864768635
Los Angeles Times,50,65.61115211227705,64.6358927213903,56171,3682,65.54983888483382
Newsmax,181,65.56518429147697,64.64646464646465,107259,6907,64.39552858035223
CNN (Web News),995,64.83568152377082,63.651591289782246,1032716,66401,64.29744479605236
The Guardian,82,63.20101289333196,60.68822966145075,81101,5092,62.78590892837327
Bloomberg,52,62.371148497298464,60.934018449388276,44106,2714,61.5335781979776
Washington Times,645,61.450028696290964,60.665362035225044,446073,27217,61.01467696991299
Politico,424,61.19937889131753,60.02402369372004,355275,21982,61.87319681936528
New York Times - News,764,60.838018301761586,60.20381516311821,895764,54455,60.79168173760053
