source,articles,total_words,total_predicted_spans,mean_spans_per_article,median_spans_per_article,mean_spans_per_1000_words,median_spans_per_1000_words,mean_evidence_share,median_evidence_share
Breitbart News,112,49685,4419,39.455357142857146,28.5,92.03435221667023,86.58170914542728,0.6131002778351576,0.6366666666666667
Townhall,292,165368,15124,51.794520547945204,40.0,92.03418653157415,90.49102262137987,0.49879358567816273,0.5
Reuters,184,123028,10734,58.33695652173913,58.0,90.0623542550031,85.98433485583784,0.6550408428765421,0.6612903225806451
CBN,83,44147,3858,46.48192771084337,37.0,87.90166103234607,86.03896103896103,0.5650055695406879,0.5822784810126582
National Review,68,11632,1036,15.235294117647058,8.5,87.66848537472144,81.74629691502395,0.38952086301679906,0.4342857142857143
Daily Beast,52,35989,3021,58.09615384615385,57.5,86.93382208147167,83.26735591080732,0.6095042103409147,0.6212121212121212
TheBlaze.com,82,44916,3805,46.40243902439025,34.0,86.85583477213846,83.91440043332847,0.6806203582800365,0.6902918403811793
NBCNews.com,69,51118,4338,62.869565217391305,61.0,85.81987905857977,83.33333333333333,0.6429759440803567,0.65
The Hill,286,191838,16216,56.6993006993007,43.5,84.61295161845902,82.02669095783637,0.6148665687514182,0.603219696969697
HuffPost,530,361108,29622,55.89056603773585,48.0,84.39236938696716,80.49813972715998,0.6143956803242866,0.6349547511312217
CBS News,54,35645,2930,54.25925925925926,44.0,84.29373887555069,78.78585151639908,0.6924089705866202,0.7
Vox,162,177971,14661,90.5,74.0,83.99744017814382,81.2410319218554,0.4428607447184125,0.44590643274853803
Washington Examiner,157,71072,5854,37.28662420382165,31.0,83.61881014563764,82.14285714285714,0.6021465728964535,0.625
ABC News,97,74147,6007,61.92783505154639,51.0,82.82870686913516,80.0,0.6815980368278507,0.6949152542372882
Fox News,989,764603,62561,63.25682507583418,58.0,82.54175856554512,80.13937282229965,0.6407920910562458,0.6617647058823529
USA TODAY,347,265507,21943,63.236311239193085,55.0,82.25769347834076,79.34131736526946,0.6758595268818001,0.6862745098039216
Los Angeles Times,50,56171,4588,91.76,81.5,81.88227127402779,77.80991947625348,0.61388311375852,0.6286764705882353
Newsmax,181,107259,8433,46.591160220994475,38.0,81.20578117898832,77.77777777777779,0.6699371087366053,0.6779661016949152
Christian Science Monitor,97,90263,7151,73.72164948453609,65.0,81.12213803328592,78.48324514991181,0.5583760332587795,0.5797101449275363
BBC News,132,101256,8129,61.583333333333336,58.0,81.02297016562528,78.00007800007799,0.6546440431062969,0.6666666666666666
Salon,56,51516,4108,73.35714285714286,63.0,80.2821359920331,77.53242201191728,0.47545689990634843,0.4335448616252423
CNN (Web News),995,1032716,80564,80.96884422110553,74.0,79.66809300467173,76.92307692307693,0.6144697721981514,0.6370370370370371
Washington Times,645,446073,33889,52.54108527131783,50.0,77.50257959658882,75.08532423208192,0.6269748656952877,0.6333333333333333
Bloomberg,52,44106,3334,64.11538461538461,60.0,76.65572356144004,73.42286503703653,0.6262718461233779,0.6341138397106416
The Guardian,82,81101,6088,74.2439024390244,70.0,76.2620069055919,75.37327345886615,0.630938710044391,0.6595454545454545
Politico,424,355275,26778,63.155660377358494,52.0,74.59439633765999,72.4843833228415,0.5991416656081588,0.6044089147286822
New York Times - News,764,895764,66019,86.41230366492147,83.0,73.98679077750613,72.87725721517843,0.6122301436300317,0.6243279569892473
