source,allsides_bias,articles,total_words,assumption_per_1000_words,testimony_per_1000_words,anecdote_per_1000_words,statistics_per_1000_words,other_per_1000_words
Townhall,From the Right,292,165368,46.0548594649509,21.297953654878818,17.3915146824053,4.093899666199023,2.6184025930046926
Salon,From the Left,56,51516,45.57807283174159,15.218572870564484,15.626213215311747,2.4652535134715428,0.8541035794704558
Vox,From the Left,162,177971,44.77133915076052,16.34535963724427,17.8624607379854,2.3149839018716536,1.084446342381624
National Review,From the Right,68,11632,41.26547455295736,22.18019257221458,20.460797799174692,3.43878954607978,1.71939477303989
Daily Beast,From the Left,52,35989,37.01130901108672,23.007029925810667,21.72886159659896,1.5560310094751173,0.6390841646058518
Breitbart News,From the Right,112,49685,36.38925228942336,24.47418738049713,21.072758377780012,4.36751534668411,2.6366106470765827
The Hill,From the Center,286,191838,34.53955941992723,27.32513891929649,20.38178046059696,1.6107340568604762,0.6724423732524317
Christian Science Monitor,From the Center,97,90263,32.62687923069253,22.611701361576724,17.5044037977909,3.478723286396419,3.002337613418566
Washington Examiner,From the Right,157,71072,31.686177397568663,26.19878433138226,21.288271049076993,2.2793786582620443,0.9145655110310671
HuffPost,From the Left,530,361108,30.622417670059928,25.133754998504603,21.032488895288946,3.1043344373428448,2.1378645723717007
Politico,From the Left,424,355275,30.410245584406447,25.031313771022447,17.060023925128423,2.1420026739849414,0.7290127366124832
CNN (Web News),From the Left,995,1032716,28.731035444400977,26.878638464011402,18.74765182296004,2.5592708934498933,1.095170405029069
CBN,From the Right,83,44147,28.26919156454572,28.65426869322944,20.137268670577843,1.970688835028428,8.358438852017125
NBCNews.com,From the Left,69,51118,28.130991040338042,27.07461168277319,23.74897296451348,2.6605109746077704,3.2473883954771314
TheBlaze.com,From the Right,82,44916,28.007836851010776,30.43458901059756,21.039273310179002,2.961082910321489,2.2709056906224956
Los Angeles Times,From the Left,50,56171,27.968168627939683,23.286037279022985,24.90609033130975,2.8840504886863325,2.6348115575652917
New York Times - News,From the Left,764,895764,27.79638386896549,22.847535734858734,20.557870153299305,2.230498211582515,0.2690440785742673
BBC News,From the Center,132,101256,27.7020621000237,25.183692818203365,23.741802954886623,2.044323299360038,1.6097811487714306
Fox News,From the Right,989,764603,26.936854812235893,27.004863962082283,22.94000939049415,2.695516496796377,2.244301944930899
Bloomberg,From the Center,52,44106,26.368294563097994,26.708384346800887,18.659592799165647,2.1085566589579647,1.7457942230082075
Newsmax,From the Right,181,107259,26.310146467895468,29.414781044014955,18.87953458451039,3.300422342181076,0.7178884755591605
The Guardian,From the Left,82,81101,26.275878225915832,27.138999519118137,19.37090788029741,1.516627415198333,0.7644788596934686
Washington Times,From the Right,645,446073,25.84554546004802,27.78468994985126,16.784248318100403,2.761879782008774,2.7955065650689463
CBS News,From the Left,54,35645,25.305091878243793,27.689718053022865,24.51956796184598,3.759293028475242,0.9257960443259924
ABC News,From the Left,97,74147,24.936949573145238,29.508948440260564,19.663641145292463,5.003573981415297,1.90162784738425
USA TODAY,From the Center,347,265507,24.82043787922729,29.603739261111762,23.97300259503516,2.8473825548855585,1.4010930031976558
Reuters,From the Center,184,123028,23.848229671294337,25.41697824885392,28.79832233312742,3.2594206196963293,5.925480378450434
