source,assumption,testimony,anecdote,statistics,other,allsides_bias,articles
CNN (Web News),37.52654327495068,36.74944654447975,21.89726058342495,3.064712880830108,0.7620367163145133,From the Left,995
Fox News,33.30810896925283,35.94671021188466,25.631272901067387,3.0488290584674207,2.0650788593277043,From the Right,989
New York Times - News,38.70902580112019,32.307409787898266,26.025158387659538,2.794968322468093,0.16343770085391607,From the Left,764
Washington Times,34.213910423632285,40.2395561597531,20.36594775324246,3.6374324870485357,1.5431531763236213,From the Right,645
HuffPost,38.113127902068385,32.76910088644998,24.04812157028282,3.524693963697763,1.5449556775010553,From the Left,530
Politico,40.86070421253753,35.64279865344373,20.007278682558457,2.8068419616049494,0.6823764898553362,From the Left,424
USA TODAY,29.31735985533454,38.79407775768535,27.520343580470165,3.294529837251356,1.0736889692585894,From the Center,347
Townhall,53.56456330965316,22.57417467613874,17.551190973673215,4.488090263267865,1.821980777267029,From the Right,292
The Hill,42.28368233899644,33.8206242591861,21.422362702489135,1.8885815883050179,0.584749111023311,From the Center,286
Reuters,28.24655150987946,33.50316888281347,30.893500683484525,3.715670436187399,3.6411084876351434,From the Center,184
Newsmax,33.328507311423195,39.19212393224265,22.643694802374405,4.242073259012596,0.5936006949471551,From the Right,181
Vox,57.42241873413576,19.495619421927454,19.72488332105134,2.669286825513797,0.6877916973716531,From the Left,162
Washington Examiner,39.45089757127772,33.36853220696938,23.674762407602955,2.6187961985216472,0.8870116156283,From the Right,157
BBC News,34.70862821864177,34.03101942478543,27.781960548110224,2.3490438187020026,1.1293479897605783,From the Center,132
Breitbart News,42.42952630049404,28.945074106364427,21.795989537925024,5.056669572798604,1.7727404824179018,From the Right,112
ABC News,30.681582763621297,39.6519577377253,22.788481458462815,6.132173192459085,0.7458048477315102,From the Left,97
Christian Science Monitor,42.131809011432416,29.926025554808337,20.42703429724277,4.034969737726967,3.4801613987895093,From the Center,97
CBN,33.16310245770826,36.61027768911586,21.225662304500478,2.106607085860198,6.8943504628151935,From the Right,83
TheBlaze.com,34.496250407564396,38.27844799478318,22.62797522008477,3.2279100097815454,1.3694163677861102,From the Right,82
The Guardian,35.50667714061272,37.90259230164965,24.253731343283583,1.8460329929300863,0.49096622152395913,From the Left,82
NBCNews.com,34.44476659901421,35.0826326471441,25.543635836474337,2.7544215714699916,2.1745433458973613,From the Left,69
National Review,50.75566750629723,24.68513853904282,20.40302267002519,3.400503778337532,0.7556675062972292,From the Right,68
Salon,60.64385150812065,18.561484918793504,17.546403712296986,2.5812064965197217,0.6670533642691415,From the Left,56
CBS News,30.156713257094452,35.83227445997459,28.8860652265989,4.193138500635324,0.9318085556967387,From the Left,54
Bloomberg,34.89314664701548,37.14075165806927,23.581429624170966,2.616064848931466,1.7686072218128224,From the Center,52
Daily Beast,46.03238866396761,28.421052631578945,23.198380566801617,1.9433198380566803,0.4048582995951417,From the Left,52
Los Angeles Times,35.632808256382404,30.255296034763717,29.92938620315046,3.09614340032591,1.0863661053775122,From the Left,50
