source,assumption,testimony,anecdote,statistics,other,article_count
CNN (Web News),36.829104811081876,34.45459510451318,24.031825629313342,3.280621617595948,1.4038528374956556,995
Fox News,32.921468646600914,33.004587522577964,28.03663624302681,3.294384680551782,2.742922907242531,989
New York Times - News,37.71490025598691,31.000166618700675,27.893485208803526,3.0264014904800134,0.36504642602887044,764
Washington Times,34.0198884593821,36.57233910708489,22.092714450116556,3.635397916728142,3.679660066688306,645
HuffPost,37.33036256836135,30.63938964283303,25.639727229761668,3.7843494699885216,2.6061710890554317,530
Politico,40.34655314063784,33.21009784151169,22.63425199790873,2.8418851295839866,0.9672118903577563,424
USA TODAY,30.03235656017865,35.82007929635875,29.006972610855396,3.4452900697261084,1.695301462881101,347
Townhall,50.35704839989421,23.287490081988892,19.016133298069292,4.4763290134884945,2.8629992065591114,292
The Hill,40.86087814504194,32.32609768130242,24.11198815984213,1.9055254070054268,0.7955106068080907,286
Reuters,27.33370598099497,29.131730948388302,33.0072666294019,3.7357928079001304,6.791503633314701,184
Newsmax,33.46377327167082,37.41254595043282,24.0128068303095,4.197794379224475,0.9130795683623859,181
Vox,54.34827092285656,19.84175704249369,21.683377668644706,2.810176659163768,1.3164177068412795,162
Washington Examiner,38.46942261701401,31.807311240177654,25.845575674752308,2.767338571916638,1.110351896139392,157
BBC News,34.50608930987821,31.369172099889287,29.573133226719158,2.5464386763439535,2.0051666871693934,132
Breitbart News,40.91423398959041,27.517537904503282,23.693143245078073,4.91061326091876,2.9644715999094817,112
ABC News,30.780755784917595,36.424171799567176,24.271683036457468,6.176127850840686,2.34726152821708,97
Christian Science Monitor,41.183051321493494,28.541462732484966,22.094811914417566,4.390994266536149,3.789679765067823,97
CBN,32.34836702954899,32.78900984966304,23.043027475375844,2.2550544323483668,9.564541213063764,83
TheBlaze.com,33.06176084099869,35.92641261498029,24.83574244415243,3.4954007884362683,2.680683311432326,82
The Guardian,35.003285151116955,36.15308804204994,25.804862023653087,2.0203679369250986,1.0183968462549275,82
NBCNews.com,33.148916551406174,31.904103273397876,27.985246657445828,3.1350852927616413,3.826648224988474,69
National Review,46.33204633204633,24.903474903474905,22.972972972972975,3.861003861003861,1.9305019305019304,68
Salon,57.156767283349566,19.084712755598833,19.59591041869523,3.091528724440117,1.071080817916261,56
CBS News,30.784982935153582,33.68600682593857,29.829351535836178,4.573378839590444,1.1262798634812288,54
Bloomberg,34.88302339532093,35.332933413317335,24.68506298740252,2.7894421115776846,2.3095380923815236,52
Daily Beast,44.091360476663354,27.40814299900695,25.88546838795101,1.8536908308507116,0.7613373055279709,52
Los Angeles Times,34.24149956408021,28.50915431560593,30.492589363557105,3.530950305143853,3.225806451612903,50
