topics,articles,mean_spans_per_1000_words,median_spans_per_1000_words,total_words,total_predicted_spans,pooled_spans_per_1000_words
Economy and Jobs,125,70.53158225292272,69.62025316455696,83449,5667,67.9097412791046
Violence in America,182,70.30009683699754,69.98330344443758,166268,11634,69.97137152067747
Election: Presidential,1001,68.12669642816284,66.78700361010831,888876,60052,67.55947961245438
Media Bias,126,67.8390490307817,66.6915379336228,84568,5651,66.82196575536845
Terrorism,179,67.52150670320673,65.61679790026247,176961,11858,67.00911500274071
US Senate,190,67.22630114238432,66.37359740944349,159625,10705,67.0634299138606
Elections,240,66.8024927987088,66.08303782505911,192696,12717,65.99514260804582
Politics,542,65.75639988457903,64.50167557958054,428881,27731,64.65896134358948
White House,503,64.61281038102854,62.06896551724138,384339,24355,63.36853663042262
World,189,64.13120995441774,62.73764258555133,163210,10212,62.569695484345324
Budget - Debt,180,63.94483572117718,62.381432634279065,136132,8590,63.10052008344842
Supreme Court,177,63.8891349183002,62.324929971988794,152215,9716,63.83076569326282
US House,134,63.44746519709763,62.73678406244207,110865,6974,62.90533531772876
Gun Control and Gun Rights,160,63.12661104122918,60.56091183264887,132614,8472,63.88465772844496
Healthcare,232,62.97219587216094,62.72963577573607,181088,11446,63.20683866407492
Middle East,300,62.665349448102944,61.825137594518196,268250,16541,61.66262814538677
Immigration,355,62.483713678270334,61.560833737275814,265328,16458,62.02888500271362
