topics,articles,total_words,total_predicted_spans,mean_spans_per_article,median_spans_per_article,mean_spans_per_1000_words,median_spans_per_1000_words,mean_evidence_share,median_evidence_share
Economy and Jobs,125,83449,6985,55.88,51.0,88.36707439502109,85.23908523908524,0.5775122159489715,0.5873015873015873
Violence in America,182,166268,14128,77.62637362637362,69.0,86.01335907699766,82.1872776561923,0.7297937840598123,0.7788967611336033
Media Bias,126,84568,6995,55.51587301587302,50.0,85.63314974379588,82.44393282972793,0.6120645735930847,0.6453968253968254
US Senate,190,159625,13325,70.13157894736842,63.0,85.00325903018346,81.26898618978016,0.5360294879443916,0.5333333333333333
Election: Presidential,1001,888876,73355,73.28171828171828,64.0,84.00770906756838,80.34188034188035,0.5620980569981668,0.5925925925925926
Politics,542,428881,34488,63.6309963099631,55.0,83.28624868869335,79.51389283159413,0.6352297149072529,0.6545092838196287
Terrorism,179,176961,14577,81.43575418994413,71.0,83.1697243463839,81.5831987075929,0.7163425804915274,0.7516778523489933
Elections,240,192696,15592,64.96666666666667,60.0,82.37223280381924,80.92008182976727,0.5410148989791799,0.5628033980582524
White House,503,384339,30191,60.02186878727634,53.0,81.17688357027824,77.93103448275862,0.6098568103674089,0.6268656716417911
Supreme Court,177,152215,12106,68.3954802259887,60.0,80.12248319951243,77.97681770284511,0.6163622298438804,0.625
US House,134,110865,8647,64.52985074626865,59.0,79.97632885842842,77.54786342381556,0.5864906712210938,0.6193371085942705
Budget - Debt,180,136132,10625,59.02777777777778,57.0,79.66545656090744,74.7385825364197,0.519736861771439,0.5346832397754611
World,189,163210,12448,65.86243386243386,64.0,79.13343422663058,77.30426164519326,0.6768654212361227,0.6767676767676768
Gun Control and Gun Rights,160,132614,10458,65.3625,57.0,78.56938331019828,74.8961218836565,0.6011106734984701,0.6498015873015873
Healthcare,232,181088,14107,60.80603448275862,55.0,78.39110580957987,77.65690594091576,0.5381881237447347,0.5642857142857143
Middle East,300,268250,20395,67.98333333333333,64.0,78.36315721343375,75.26494045668088,0.6244924540013312,0.6593045112781954
Immigration,355,265328,20319,57.23661971830986,52.0,78.0782889721178,75.17084282460137,0.5843205716970834,0.5967741935483871
