topics,articles,total_words,assumption_per_1000_words,testimony_per_1000_words,anecdote_per_1000_words,statistics_per_1000_words,other_per_1000_words
Budget - Debt,180,136132,30.63937942585138,19.429671201480915,9.814004054887903,2.409426145212,0.8080392560162196
Elections,240,192696,30.535143438369243,16.57533109146012,15.252003155228962,2.8230995972931456,0.8095653256943579
Election: Presidential,1001,888876,29.991809881243277,20.073666068157987,12.555182050139727,4.205310977009167,0.7335106359042206
Healthcare,232,181088,29.874977911291747,19.65895034458385,10.111106202509276,2.7334776462272488,0.8283265594628025
US Senate,190,159625,29.73844949099452,20.379013312451058,14.997650743931088,1.1088488645262333,0.8394675019577134
Economy and Jobs,125,83449,28.280746324102147,16.441179642655996,8.759841340219776,13.720955314024135,0.7070186581025537
Media Bias,126,84568,27.62274146249172,22.147857345568063,14.934727083530413,1.336202819033204,0.7804370447450572
US House,134,110865,25.6708609570198,21.810309836287377,13.962927885265865,0.8117981328642944,0.6494385062914355
Immigration,355,265328,24.94648133630827,22.089639992763676,12.987698245190858,1.2889706325755292,0.716094795875294
White House,503,384339,24.845253799380234,22.508774805575285,13.98765152638686,1.222878760677423,0.8039777384028163
Gun Control and Gun Rights,160,132614,24.67311143619829,21.543728414797833,15.654455788981554,1.3799448022079117,0.6334172862593693
Politics,542,428881,22.82218144427009,23.456390000955974,16.316880440028818,1.2917336044264025,0.7717758539081937
Middle East,300,268250,22.672879776328053,23.187325256290777,14.165890027958993,0.902143522833178,0.7343895619757689
Supreme Court,177,152215,22.4616496403114,23.11861511677561,16.975987911835233,0.4730151430542325,0.8014978812863384
World,189,163210,19.3738128791128,23.086820660498745,18.39348079161816,1.0354757674162123,0.6801053856994056
Terrorism,179,176961,17.026350438797248,25.909663711213206,22.78468137047146,0.6498607037708874,0.6385587784879154
Violence in America,182,166268,15.727620468159838,27.52784660908894,24.46050953881685,1.275049919407222,0.9803449852046094
