topics,articles,total_words,assumption_per_1000_words,testimony_per_1000_words,anecdote_per_1000_words,statistics_per_1000_words,other_per_1000_words
Budget - Debt,180,136132,36.73640290306467,21.956630329386183,14.36840713425205,3.5039520465430614,1.4838539065025123
Elections,240,192696,36.10349981317723,19.25312409183377,20.420766388508323,3.4977373687051108,1.6398887366629302
US Senate,190,159625,36.03445575567737,23.66170712607674,20.328895849647612,1.5661707126076743,1.8856695379796398
Election: Presidential,1001,888876,35.27376146954131,23.279962559457115,17.225124764309083,5.132324418704071,1.6143984087769272
Healthcare,232,181088,35.17626789185368,23.154488425516877,14.407359957589682,3.495538080933027,1.667697473051776
Economy and Jobs,125,83449,33.21789356373354,19.077520401682467,12.930053086316192,16.836630756509965,1.6417212908483025
Media Bias,126,84568,32.553684608835496,26.1209913915429,20.492384826411882,1.6791221265726988,1.868318985904834
US House,134,110865,30.68596942227033,25.084562305506697,19.528255085013303,1.1725973030262031,1.524376493934064
Gun Control and Gun Rights,160,132614,29.981751549610145,24.997360761307252,20.691631351139396,1.7117348092961528,1.4779736679385282
Immigration,355,265328,29.895073267804378,25.50805041307363,17.86844961707773,1.7186275101007056,1.5904842308388107
White House,503,384339,29.864260457564807,26.367347575968093,19.0430843604214,1.6001498676949255,1.678205958801995
Politics,542,428881,27.961136072710143,27.27096793749315,21.891853451190425,1.6694607595113795,1.6204961282966603
Supreme Court,177,152215,27.625398285320106,26.915875570738756,22.64559997372138,0.7423709884045594,1.6029957625726767
Middle East,300,268250,27.381174277726004,26.844361602982293,19.284249767008387,1.3084808946877913,1.211556383970177
World,189,163210,23.215489246982415,26.45058513571472,23.871086330494453,1.4582439801482752,1.2744317137430305
Terrorism,179,176961,21.100694503308638,29.90489429874379,28.966834500257118,0.9889184622600461,1.4127406603714943
Violence in America,182,166268,19.60689970409219,31.30488127601222,30.390694541342892,1.6780138090312027,1.99076190247071
