topics,assumption,testimony,anecdote,statistics,other
Budget - Debt,47.06823529411765,28.13176470588235,18.409411764705883,4.489411764705882,1.9011764705882352
Economy and Jobs,39.68503937007874,22.791696492483894,15.44738725841088,20.114531138153186,1.9613457408733
Election: Presidential,42.74282598323222,28.20939267943562,20.87246949764842,6.2190716379251585,1.9562402017585714
Elections,44.61903540277065,23.794253463314522,25.237301180092352,4.322729604925603,2.0266803488968703
Gun Control and Gun Rights,38.01874163319947,31.698221457257603,26.238286479250334,2.1705871103461463,1.8741633199464525
Healthcare,45.15488764443184,29.72283263627986,18.49436449989367,4.487134046927058,2.140781172467569
Immigration,39.037354200501994,33.308725823121215,23.33284118312909,2.2442049313450467,2.0768738619026528
Media Bias,39.35668334524661,31.579699785561115,24.77483917083631,2.030021443888492,2.258756254467477
Middle East,36.01372885511155,35.307673449374846,25.364059818582984,1.7210100514832067,1.5935278254474137
Politics,34.77151472976108,33.913245186731615,27.223961957782418,2.0760844351658547,2.0151936905590353
Supreme Court,34.73484222699488,33.84272261688419,28.473484222699486,0.9334214439121098,2.0155294895093343
Terrorism,25.61569595938808,36.303766207038485,35.16498593674967,1.2005213692803731,1.7150305275433904
US House,39.34312478316179,32.16144327512432,25.037585289695848,1.503411587833931,1.95443506418411
US Senate,43.166979362101316,28.345215759849907,24.352720450281424,1.876172607879925,2.25891181988743
Violence in America,23.074745186862966,36.841732729331824,35.7658550396376,1.9748018120045299,2.3428652321630805
White House,38.01795236991156,33.56629459110331,24.24232387135239,2.037030903249313,2.1363982643834256
World,30.43862467866324,34.68026992287918,31.29820051413882,1.911953727506427,1.6709511568123392
