topics,highest_density_orientation,highest_density_value,highest_evidence_share_orientation,highest_evidence_share_value,highest_assumption_share_orientation,highest_assumption_share_value
Budget - Debt,From the Right,81.35057697230695,From the Right,0.5208740986762725,From the Left,47.20906630581867
Economy and Jobs,From the Right,95.48164235582412,From the Right,0.5818488733317847,From the Right,40.33742331288344
Election: Presidential,From the Center,90.08740701189093,From the Right,0.5705266388433361,From the Left,43.8969712537655
Elections,From the Right,86.23979933413506,From the Right,0.5637366503434071,From the Left,47.40769835035349
Gun Control and Gun Rights,From the Right,81.34208935808934,From the Left,0.5930605890109003,From the Right,42.226097064806744
Healthcare,From the Right,78.13738541087336,From the Right,0.5525802056239999,From the Left,47.02451954937044
Immigration,From the Right,82.52476515308005,From the Center,0.628699071932692,From the Left,41.24038461538462
Media Bias,From the Right,87.05186977541842,From the Center,0.634149911191451,From the Right,41.01731601731602
Middle East,From the Right,79.8091987287554,From the Center,0.6520188672704014,From the Left,37.51900760304122
Politics,From the Right,87.0189246169396,From the Center,0.6508727270374004,From the Left,35.79664570230608
Supreme Court,From the Center,83.83789279197306,From the Center,0.6615741819147194,From the Left,36.469625690325216
Terrorism,From the Right,83.28887620835162,From the Right,0.7198810643728475,From the Left,25.98858329008822
US House,From the Right,80.56913587086062,From the Right,0.5904857792658368,From the Left,40.04659042778484
US Senate,From the Center,87.55188971806605,From the Center,0.5596107978694167,From the Left,43.942535545023695
Violence in America,From the Right,87.0554743804094,From the Center,0.7870631773713953,From the Left,24.66730690080944
White House,From the Right,84.04483388009848,From the Center,0.6393215867288461,From the Left,41.46539857339507
World,From the Center,82.8971150551516,From the Center,0.6897467484139492,From the Left,31.537219204228457
