topics,allsides_bias,articles,mean_spans_per_1000_words,median_spans_per_1000_words,total_words,total_predicted_spans,pooled_spans_per_1000_words
Budget - Debt,From the Center,14,71.76586002618801,67.55685459522937,10226,719,70.3109720320751
Budget - Debt,From the Left,97,62.276845262962254,60.02034587995931,77866,4809,61.759946574885056
Budget - Debt,From the Right,69,64.70281737591192,62.421972534332085,48040,3062,63.73855120732723
Economy and Jobs,From the Center,19,70.33387113179172,69.07216494845362,12264,845,68.90084801043706
Economy and Jobs,From the Left,60,68.0127090713298,67.29638992657476,49146,3258,66.29227200586008
Economy and Jobs,From the Right,46,73.89873230068496,72.63281617301362,22039,1564,70.96510730976904
Election: Presidential,From the Center,75,70.5579892871881,70.14028056112224,79478,5675,71.40340723219003
Election: Presidential,From the Left,543,67.27625873264138,66.0377358490566,532538,35470,66.60557556456065
Election: Presidential,From the Right,383,68.85630662200428,67.46987951807229,276860,18907,68.29083291194107
Elections,From the Center,49,69.36273851005706,69.97084548104957,36032,2494,69.21625222024868
Elections,From the Left,103,63.9050457238733,63.40956340956341,98583,6325,64.15913494212998
Elections,From the Right,88,68.76823153566328,68.58791903858318,58081,3898,67.11316953909196
Gun Control and Gun Rights,From the Center,18,65.63592073346186,63.27027613269619,14024,935,66.6714204221335
Gun Control and Gun Rights,From the Left,78,61.21065572511416,59.5476062180969,76793,4793,62.41454299219981
Gun Control and Gun Rights,From the Right,64,64.75593823180391,62.856815371746436,41797,2744,65.65064478311841
Healthcare,From the Center,26,66.78086539698224,66.54718032888421,17509,1180,67.39391170255297
Healthcare,From the Left,116,62.26637369195707,61.68846144975669,101527,6232,61.38268637899278
Healthcare,From the Right,90,62.781639930586444,63.009798307565056,62052,4034,65.00999161993167
Immigration,From the Center,65,61.48398982888115,61.72839506172839,45308,2764,61.00467908537124
Immigration,From the Left,156,60.98541931451585,60.751112801127334,139758,8563,61.270195623864105
Immigration,From the Right,134,64.71293734212107,62.20514528057201,80262,5131,63.92813535670679
Media Bias,From the Center,35,67.0991187536588,64.22924901185772,20459,1350,65.98562979617772
Media Bias,From the Left,48,68.58562725556648,68.6710880976025,42239,2838,67.18909065082033
Media Bias,From the Right,43,67.60792821472658,67.22689075630252,21870,1463,66.89529035208047
Middle East,From the Center,34,63.61054085785883,62.27828813569994,23172,1452,62.661833247022265
Middle East,From the Left,158,62.04680749608481,61.17372308684288,165571,10224,61.74994413272856
Middle East,From the Right,108,63.27269315631744,62.498665394936324,79507,4865,61.18958079162841
Politics,From the Center,94,66.3005999897835,64.78692410251345,68223,4478,65.63768816967885
Politics,From the Left,249,63.91902470364776,62.953995157384995,244348,15535,63.57735688444349
Politics,From the Right,199,67.79836777484368,66.46525679758308,116310,7718,66.35714899836644
Supreme Court,From the Center,39,66.24495730253425,68.15761448349308,33149,2203,66.45751003046848
Supreme Court,From the Left,67,61.765884505805516,59.95120250958522,65468,4004,61.15965051628276
Supreme Court,From the Right,71,64.59872230776521,64.28571428571428,53598,3509,65.46886077838725
Terrorism,From the Center,23,70.00655693995371,68.02721088435375,15307,1034,67.55079375449141
Terrorism,From the Left,101,66.69313510413934,64.79057591623037,116903,7815,66.85029468875905
Terrorism,From the Right,55,68.00349535885444,66.18531889290013,44751,3009,67.2387209224375
US House,From the Center,15,66.47147694721518,63.40057636887608,15056,971,64.49256110520722
US House,From the Left,70,62.450896408189834,62.11556383970178,61824,3846,62.20885093167701
US House,From the Right,49,63.94541701284831,62.93706293706294,33985,2157,63.46917757834339
US Senate,From the Center,31,65.94052033344897,66.42066420664207,28492,1902,66.75558051382845
US Senate,From the Left,88,67.9326887694366,66.41628966449284,81971,5516,67.29209110539092
US Senate,From the Right,71,66.91217570430538,65.44502617801047,49162,3287,66.86058337740532
Violence in America,From the Center,31,68.17907936494828,66.7420814479638,28416,1940,68.2713963963964
Violence in America,From the Left,87,70.67480560353438,69.90291262135922,86680,6075,70.08537148131057
Violence in America,From the Right,64,70.81809494551037,72.56307129798904,51172,3619,70.72226999140155
White House,From the Center,76,65.30789201274672,61.44014427728107,54553,3517,64.46941506424945
White House,From the Left,228,62.81627727346679,60.80996719221114,211138,13010,61.61846754255511
White House,From the Right,199,66.40569150923707,65.0,118648,7828,65.97667048749241
World,From the Center,30,66.32540212940727,65.6597528322446,23118,1503,65.01427459122762
World,From the Left,90,63.72348104093626,62.75317210962863,91898,5677,61.775011425711114
World,From the Right,69,63.709033678528584,61.67979002624672,48194,3032,62.91239573390879
