topics,allsides_bias,articles,total_words,total_predicted_spans,mean_spans_per_article,median_spans_per_article,mean_spans_per_1000_words,median_spans_per_1000_words,mean_evidence_share,median_evidence_share
Budget - Debt,From the Left,97,77866,5912,60.94845360824742,56.0,76.7617965689053,72.41129616220131,0.5179145035268484,0.5189873417721519
Budget - Debt,From the Right,69,48040,3812,55.2463768115942,58.0,81.35057697230695,79.06976744186046,0.5208740986762725,0.5454545454545454
Economy and Jobs,From the Left,60,49146,3949,65.81666666666666,64.5,82.60560180442302,79.05747378505185,0.5710838773018438,0.5833333333333334
Economy and Jobs,From the Right,46,22039,1956,42.52173913043478,41.0,95.48164235582412,88.16006734224754,0.5818488733317847,0.6028169014084507
Election: Presidential,From the Center,75,79478,7299,97.32,71.0,90.08740701189093,89.0125173852573,0.5644515752344142,0.5958904109589042
Election: Presidential,From the Left,543,532538,42823,78.86372007366482,68.0,82.36646540761733,78.70370370370371,0.5558279636014478,0.5789473684210527
Election: Presidential,From the Right,383,276860,23233,60.66057441253264,55.0,85.14404839270999,82.47422680412372,0.5705266388433361,0.6078431372549019
Elections,From the Center,49,36032,3097,63.204081632653065,60.0,86.11832442998427,88.01020408163265,0.5434195496017754,0.5409836065573771
Elections,From the Left,103,98583,7638,74.15533980582525,73.0,77.28578285867479,74.28571428571429,0.5204581805271489,0.5370370370370371
Elections,From the Right,88,58081,4857,55.19318181818182,45.5,86.23979933413506,84.51157120780181,0.5637366503434071,0.5862068965517241
Gun Control and Gun Rights,From the Left,78,76793,5842,74.8974358974359,66.5,75.29405345515842,73.71011868064119,0.5930605890109003,0.6402498536014054
Gun Control and Gun Rights,From the Right,64,41797,3441,53.765625,43.0,81.34208935808934,79.37668766876688,0.5775241512273714,0.5861522198731501
Healthcare,From the Left,116,101527,7545,65.04310344827586,58.5,76.51925608057303,75.49628547071003,0.5170066087257882,0.5407977490897053
Healthcare,From the Right,90,62052,5025,55.833333333333336,48.5,78.13738541087336,78.10726844336334,0.5525802056239999,0.5656275635767022
Immigration,From the Center,65,45308,3454,53.13846153846154,52.0,79.21146513620216,76.47058823529413,0.628699071932692,0.6219512195121951
Immigration,From the Left,156,139758,10400,66.66666666666667,60.5,73.78672320984586,71.59749551108506,0.5693751964866224,0.5847701149425287
Immigration,From the Right,134,80262,6465,48.24626865671642,40.5,82.52476515308005,78.5304400311413,0.5801927807830339,0.5893162393162393
Media Bias,From the Center,35,20459,1682,48.05714285714286,47.0,83.3113111559015,81.26721763085399,0.634149911191451,0.6818181818181818
Media Bias,From the Left,48,42239,3465,72.1875,62.0,86.05522035247365,81.59008172163098,0.6095971595330979,0.6209508881922675
Media Bias,From the Right,43,21870,1848,42.97674418604651,40.0,87.05186977541842,83.33333333333333,0.5968424586846321,0.6507936507936508
Middle East,From the Center,34,23172,1812,53.294117647058826,49.5,79.660036830589,74.92696918017805,0.6520188672704014,0.6654635258358663
Middle East,From the Left,158,165571,12495,79.08227848101266,76.0,77.09564841192733,74.43708049825672,0.626212667570458,0.657349735284958
Middle East,From the Right,108,79507,6088,56.370370370370374,52.5,79.8091987287554,78.15067774682689,0.613310122565494,0.6546814671814671
Politics,From the Center,94,68223,5714,60.787234042553195,50.5,85.78213653303496,82.3644289661594,0.6508727270374004,0.6614583333333333
Politics,From the Left,249,244348,19080,76.62650602409639,67.0,79.36088335901819,76.32093933463796,0.6293466004229242,0.65
Politics,From the Right,199,116310,9694,48.71356783919598,42.0,87.0189246169396,84.31372549019608,0.6352018373512931,0.66
Supreme Court,From the Center,39,33149,2801,71.82051282051282,65.0,83.83789279197306,85.24072612470403,0.6615741819147194,0.6621621621621622
Supreme Court,From the Left,67,65468,4889,72.97014925373135,67.0,76.5810684089103,72.21259387637204,0.6201974561183928,0.6071428571428571
Supreme Court,From the Right,71,53598,4416,62.19718309859155,51.0,81.42352287365861,80.20477815699658,0.5879083384191613,0.6162790697674418
Terrorism,From the Left,101,116903,9635,95.39603960396039,89.0,82.64536610972337,81.02893890675242,0.7094424220697295,0.75
Terrorism,From the Right,55,44751,3697,67.21818181818182,63.0,83.28887620835162,80.06279434850863,0.7198810643728475,0.7659574468085106
US House,From the Left,70,61824,4722,67.45714285714286,61.5,78.26934093508554,75.72533435884289,0.5808688110843402,0.6192868876219925
US House,From the Right,49,33985,2666,54.40816326530612,53.0,80.56913587086062,77.25788900979326,0.5904857792658368,0.6379310344827587
US Senate,From the Center,31,28492,2449,79.0,73.0,87.55188971806605,84.8032564450475,0.5596107978694167,0.5294117647058824
US Senate,From the Left,88,81971,6752,76.72727272727273,72.0,83.61148978138297,80.6324863105778,0.5300548307763483,0.5313725490196078
US Senate,From the Right,71,49162,4124,58.08450704225352,51.0,85.61548639032547,81.04575163398694,0.5331386319318854,0.5512820512820513
Violence in America,From the Center,31,28416,2370,76.45161290322581,71.0,83.80016143842764,81.85840707964601,0.7870631773713953,0.8225806451612904
Violence in America,From the Left,87,86680,7289,83.7816091954023,84.0,86.0353561732887,82.42220353238015,0.7242871373387766,0.7751937984496124
Violence in America,From the Right,64,51172,4469,69.828125,60.5,87.0554743804094,82.1872776561923,0.7095395195609222,0.7738369415016122
White House,From the Center,76,54553,4403,57.93421052631579,54.5,82.36601154158697,77.70779002668257,0.6393215867288461,0.6306042884990253
White House,From the Left,228,211138,15982,70.09649122807018,60.0,78.2773404234638,74.59454349196983,0.5819609750790183,0.604794717197818
White House,From the Right,199,118648,9806,49.27638190954774,42.0,84.04483388009848,82.74894810659187,0.6305649884693378,0.6538461538461539
World,From the Center,30,23118,1872,62.4,60.0,82.8971150551516,77.80051176609575,0.6897467484139492,0.6797112462006079
World,From the Left,90,91898,6811,75.67777777777778,74.0,76.93539253931834,77.38547057695993,0.6777534433792745,0.676058201058201
World,From the Right,69,48194,3765,54.56521739130435,51.0,80.36406215420263,76.36068237205524,0.6701065544503477,0.6792452830188679
