group,label,n_spans,observed_percentage,pacc_adjusted_percentage,difference_percentage_points
From the Center,assumption,76585,35.18051837827251,8.94625602632146,-26.23426235195105
From the Center,testimony,76585,31.901808448129533,40.64991103705773,8.748102588928194
From the Center,anecdote,76585,27.073186655350263,33.40392227696494,6.330735621614679
From the Center,statistics,76585,3.2969902722465236,4.326215204745802,1.0292249324992784
From the Center,other,76585,2.547496246001175,12.673695454910067,10.126199208908892
From the Left,assumption,268498,39.214817242586534,18.877842644748117,-20.336974597838417
From the Left,testimony,268498,31.0177357000797,39.29431823881084,8.276582538731137
From the Left,anecdote,268498,25.134637874397576,30.132256193619224,4.9976183192216475
From the Left,statistics,268498,3.2540279629643427,4.345615085081825,1.091587122117482
From the Left,other,268498,1.3787812199718434,7.349967837739996,5.9711866177681525
From the Right,assumption,151418,37.19901200649856,11.637908163258032,-25.56110384324053
From the Right,testimony,151418,31.842977717312344,40.49539235538839,8.652414638076046
From the Right,anecdote,151418,24.471991440911914,28.272774425173374,3.8007829842614598
From the Right,statistics,151418,3.5537386572270138,5.011165178734791,1.4574265215077769
From the Right,other,151418,2.9322801780501657,14.582759877445401,11.650479699395236
